RegisterationNumber,Suburb,City,Lat,Long,Name,TotalExpenditure
  CC49286,  Manurewa,  Auckland,-37.028328,174.894636,  The Pacific Island Assembly Of God Papatoetoe Trust Board,"  131439,"
  CC48103,  Glen Eden,  Auckland,-36.912376,174.654167,  Aiga Salevalasi Charitable Trust,"  5947,"
  CC48519,  Hamilton Lake,  Hamilton,-37.805384,175.277867,  Community Living Limited,"  36732,"
  CC49017,  Christchurch Central,  Christchurch,-43.530658,172.633547,  CORE Education Charitable Trust,"  3170,"
  CC50425,  Mangawhai,  Kaiwaka,-36.170501,174.447334,  Living Waters New Zealand,"  5290786,"
  CC48539,  Brooklyn,  Wellington,-41.304594,174.759223,  Music Futures Incorporated,"  1146,"
  CC48540,   ,  Whakatane,-37.958777,176.978597,  Tumanako Hou Trust Whakatane,"  501000,"
  CC48800,   ,  Whanganui,failed,failed,  Nga Wairiki Ki Uta Charitable Trust,"  154626,"
  CC48411,  null,  null,failed,failed,  Otautahi Women's Refuge Incorporated,"  8698,"
  CC48597,  Rongotai,  Wellington,-41.322574,174.804256,  Pike River Miners Family Educational Trust,"  2849,"
  CC48813,   ,  Bulls,-40.177056,175.382318,  Papawhenua Charitable Trust,"  1704,"
  CC48389,   ,  Ohope,-37.977771,177.083683,  Dream Chaser Foundation - A Chace Topperwien Charity,"  215114,"
  CC48897,  Awapuni,  Palmerston North,-40.382751,175.582342,  Human Aid Focus New Zealand,"  455720,"
  CC48109,  Clive,  Hawkes Bay,failed,failed,  Hohepa Services Limited,"  82696,"
  CC48097,  West Melton,  Christchurch,-43.517364,172.610876,  Templeton RSA Poppy Charitable Trust,"  0,"
  CC48094,  Mount Eden,  Auckland,-36.878716,174.763564,  The Waterfront Theatre Trust,"  2790,"
  CC48106,   ,  Takanini,-37.042793,174.913672,  Christian Schools of Auckland Charitable Trust,"  26133,"
  CC48114,  Stokes Valley,  Lower Hutt,-41.172291,174.981458,  The First Samoan Full Gospel Pentecostal Church (Stokes Valley) Trust Board ,"  0,"
  CC48412,  Petone,  Lower Hutt,-41.224432,174.887612,  Wainuiomata Choir Incorporated,"  0,"
  CC48104,   ,  Wanganui,-39.926765,175.023077,  The Edith Collier Trust,"  17822,"
  CC49276,   ,  Whangarei,-35.704699,174.322321,  Northern Emerging Talents Trust,"  0,"
  CC48258,  Auckland Central,  Auckland,-36.846877,174.76651,  Auckland Youth Arts Trust,"  23274,"
  CC48158,  Mount Pleasant,  Christchurch,-43.517364,172.610876,  Christchurch Coastal Pathway Group Incorporated,"  11129,"
  CC48208,   ,  Takanini,-37.042793,174.913672,  The Healing Hands Spiritualist Church Papakura Incorporated,"  0,"
  CC50812,  Aro Valley,  Wellington,-41.295332,174.76668,  New Zealand Tango Festival Charitable Trust,"  14784,"
  CC48130,  Papatoetoe,  Auckland,-36.987276,174.845568,  LOVE OF JESUS CHURCH,"  2424422,"
  CC48598,  Manurewa,  Auckland,-37.028328,174.894636,  MANUKAU NEW LIFE COMMUNITY TRUST,"  13639,"
  CC48237,  null,  Reefton,failed,failed,  Sacred Heart School PTA,"  26659,"
  CC48007,  null,  Ranfurly,failed,failed,  Maniototo Anglican Church Trust No. 2,"  5122,"
  CC48149,  Prebbleton,  Christchurch,-43.585779,172.511245,  Prebbleton School Parent Teacher Association,"  795,"
  CC48225,  Atawhai,  Nelson,-41.275126,173.26119,  Nelson Samba Collective Charitable Trust,"  46917,"
  CC49496,  null,  New Plymouth,failed,failed,  Taranaki Community Emergency Response Team Incorporated,"  24776,"
  CC48443,  Kaiwharawhara,  Wellington,-41.258835,174.79002,  Tatum Scout Memorial Trust,"  0,"
  CC50141,  Papatoetoe,  Auckland,-36.987276,174.845568,  Kiwi Indian Community Trust,"  0,"
  CC49463,  Meadowbank,  Auckland,-36.873896,174.82621,  Sri Veda Vidya Pitham Incorporated,"  132978,"
  CC50234,   ,  Waitomo,-38.430144,174.958352,  Tere Waitomo Community Trust,"  186,"
  CC48418,  Kamo,  Whangarei,-35.704699,174.322321,  Excellere College Support Group,"  21224,"
  CC49222,   ,  Opotiki,-37.873691,177.795313,  Opape Marae and Urupa Trustees,"  303280,"
  CC48830,  Ranui,  Auckland,-36.865191,174.598206,  Waitakere Indian Association,"  504390,"
  CC48410,  Mount Roskill,  Auckland,-36.905534,174.742405,  Young Muslim Women's Association Incorporated,"  0,"
  CC48335,  Pohangina,  Ashhurst,-40.287012,175.75422,  Highland Home Christian Camp,"  215761,"
  CC48693,  Christchurch Central,  Christchurch,-43.530658,172.633547,  Canterbury Broadcasting Trust,"  1401,"
  CC48155,  Hamilton Lake,  Hamilton,-37.805384,175.277867,  Te Rapakau Pacific Trust,"  126790,"
  CC48157,  Kawau Island,  Auckland,-36.438016,174.879375,  The Gypsy Trust,"  171,"
  CC48132,  Flat Bush,  Auckland,-36.962284,174.924335,  Grace For Pakistan Charitable Trust,"  1902,"
  CC48169,  Te Atatu South,  Auckland,-36.866425,174.646503,  New Zealand Chinese Methodist Charitable Trust,"  18011,"
  CC50154,  Ararimu,  Drury,-38.834569,175.133201,  Ararimu Pre-School Incorporated,"  8538,"
  CC48284,  Burwood,  Christchurch,-43.487692,172.693708,  The Gage,"  63674,"
  CC48139,  Springvale,  Wanganui,-39.925885,175.025943,  The YMCA Palmerston North Community Trust,"  277,"
  CC48135,  Greenlane,  Auckland,-36.892913,174.790531,  Haydn Alan William Lester Perpetual Trust,"  2576,"
  CC48618,  Whangarei Heads,  Whangarei,-35.704699,174.322321,  Te Maata Marae and Reihana Taukawau Waahi Tapu Trust,"  5764,"
  CC48138,  Porirua City Centre,  Porirua,-41.121272,174.874031,  Porirua City Band Youth Trust,"  0,"
  CC48137,  null,  Rotorua,failed,failed,  Rotorua Sunrise Charitable Society incorporated,"  4302,"
  CC48014,  Moera,  Hutt City,-41.227685,174.903116,  The Church of God in Wellington Incorporated,"  5946450,"
